Country,Commodity,Value (Dollars)
China,"Fish, crustaceans, and molluscs",4058000000
United States,Meat and edible offal,11843000000
China,Mechanical machinery and equip,15036000000
China,Meat and edible offal,15463000000
China,Electrical machinery and equip,16478000000
China,"Logs, wood, and wood articles",17993000000
United Kingdom,All,21591000000
Japan,All,23155000000
European Union (27),All,26644000000
East Asia (excluding China),"Milk powder, butter, and cheese",27311000000
United States,All,40477000000
East Asia (excluding China),All,89245000000
Australia,All,107686000000
Total (excluding China),All,291991000000
