Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.07,0.76,0.12,26,374,8,0.24,1.00
0.01,0.57,0.02,4,396,3,0.17,0.50
0.07,0.70,0.14,30,370,13,0.18,1.00
0.02,1.00,0.04,9,391,0,0.34,1.00
0.16,0.50,0.24,65,335,66,0.21,0.50
0.04,0.75,0.08,18,382,6,0.18,1.00
0.04,0.64,0.08,18,382,10,0.13,0.50
0.04,0.73,0.08,16,384,6,0.05,0.20
0.02,0.80,0.04,8,392,2,0.26,0.50
0.04,0.64,0.08,16,384,9,0.31,1.00
0.05,0.86,0.09,19,381,3,0.62,1.00
0.01,0.71,0.02,5,395,2,0.16,1.00
0.04,0.75,0.08,18,382,6,0.17,1.00
0.10,0.71,0.17,39,361,16,0.23,1.00
0.15,0.60,0.25,62,338,42,0.17,1.00
0.27,0.59,0.37,107,293,73,0.26,1.00
0.07,0.55,0.13,30,370,25,0.12,0.50
0.04,0.81,0.08,17,383,4,0.16,1.00
0.04,0.82,0.09,18,382,4,0.09,0.33
0.09,0.76,0.16,35,365,11,0.53,1.00
0.04,0.64,0.08,16,384,9,0.20,1.00
0.11,0.63,0.19,44,356,26,0.28,1.00
0.05,0.60,0.10,21,379,14,0.06,0.11
0.04,0.48,0.07,15,385,16,0.03,0.33
0.10,0.76,0.17,39,361,12,0.16,1.00
0.06,0.70,0.11,23,377,10,0.35,1.00
0.02,0.82,0.04,9,391,2,0.11,0.50
0.08,0.47,0.14,24,266,27,0.16,1.00
0.07,0.66,0.13,29,371,15,0.22,1.00
0.03,0.76,0.06,13,387,4,0.17,0.33
0.11,0.74,0.19,43,357,15,0.25,1.00
0.03,0.40,0.06,12,388,18,0.09,1.00
0.12,0.81,0.20,46,354,11,0.60,1.00
0.07,0.67,0.12,26,374,13,0.29,1.00
0.02,0.64,0.04,9,391,5,0.24,1.00
0.01,0.67,0.03,6,394,3,0.06,0.33
0.16,0.66,0.26,65,335,33,0.41,1.00
0.09,0.68,0.16,36,364,17,0.18,0.50
0.29,0.72,0.42,117,283,45,0.46,1.00
0.20,0.53,0.29,78,322,68,0.14,1.00
0.02,0.60,0.04,9,391,6,0.16,1.00
0.04,0.38,0.08,18,382,29,0.06,0.33
0.16,0.66,0.26,65,335,33,0.23,1.00
0.22,0.62,0.32,87,313,53,0.24,0.50
0.04,0.85,0.08,17,383,3,0.27,1.00
0.04,0.78,0.07,14,386,4,0.31,1.00
0.08,0.53,0.14,32,368,28,0.07,0.50
0.07,0.90,0.13,27,373,3,0.39,1.00
0.07,0.75,0.12,27,373,9,0.38,1.00
0.04,0.68,0.08,17,383,8,0.22,1.00
0.35,0.59,0.44,142,258,99,0.31,1.00
0.01,1.00,0.01,2,398,0,0.51,1.00
0.06,0.96,0.10,22,378,1,0.26,0.50
0.12,0.79,0.21,49,351,13,0.46,1.00
0.04,0.67,0.08,16,384,8,0.07,0.11
0.06,0.75,0.11,24,376,8,0.08,0.14
0.11,0.84,0.19,43,357,8,0.44,1.00
0.17,0.71,0.27,67,333,28,0.31,1.00
0.18,0.51,0.27,74,326,71,0.17,0.25
0.05,0.59,0.09,20,380,14,0.05,0.14
0.11,0.63,0.19,44,356,26,0.22,1.00
0.21,0.59,0.31,85,315,59,0.24,1.00
0.07,0.69,0.12,27,373,12,0.12,0.50
0.09,0.68,0.15,34,366,16,0.19,1.00
0.15,0.65,0.25,61,339,33,0.15,1.00
0.10,0.67,0.18,42,358,21,0.18,0.25
0.03,0.79,0.05,11,389,3,0.49,1.00
0.07,0.62,0.13,28,372,17,0.29,1.00
0.03,0.80,0.06,12,388,3,0.41,1.00
0.03,0.76,0.06,13,387,4,0.31,1.00
0.01,1.00,0.03,6,394,0,0.23,1.00
0.03,0.85,0.05,11,389,2,0.32,1.00
0.04,0.78,0.07,14,386,4,0.43,1.00
0.01,0.57,0.02,4,396,3,0.26,1.00
0.04,0.71,0.07,15,385,6,0.33,1.00
0.02,0.47,0.04,8,392,9,0.26,1.00
0.09,0.44,0.15,36,364,46,0.07,0.50
0.13,0.66,0.21,51,349,26,0.19,1.00
0.07,0.67,0.13,29,371,14,0.20,1.00
0.07,0.76,0.12,26,374,8,0.32,1.00
0.04,0.54,0.07,15,385,13,0.19,1.00
0.10,0.66,0.18,41,359,21,0.27,1.00
0.06,0.75,0.11,24,376,8,0.22,0.50
0.03,0.81,0.06,13,387,3,0.13,0.25
0.05,0.65,0.09,20,380,11,0.06,0.07
0.09,0.79,0.17,37,363,10,0.24,0.33
0.07,0.68,0.12,26,374,12,0.10,0.12
0.03,0.71,0.05,10,390,4,0.12,0.33
0.04,0.94,0.08,16,384,1,0.45,1.00
0.07,0.93,0.12,26,374,2,0.53,1.00
0.35,0.46,0.39,139,261,165,0.21,1.00
0.17,0.64,0.27,69,331,39,0.24,1.00
0.02,0.39,0.03,7,393,11,0.04,0.50
0.08,0.77,0.15,33,367,10,0.39,1.00
0.01,0.33,0.01,3,397,6,0.03,0.17
0.01,0.50,0.03,6,394,6,0.10,1.00
0.03,0.91,0.05,10,390,1,0.34,1.00
0.03,0.87,0.06,13,387,2,0.14,1.00
0.01,0.80,0.02,4,396,1,0.29,1.00
0.02,0.64,0.03,7,393,4,0.29,1.00
